Medicine_ID,Medicine_Name,Batch_ID,Category,Purchase_Date,Expiry_Date,Stock_Quantity,Unit_Price,Total_Value,Daily_Sales,Weekly_Sales,Monthly_Sales,Sales_Velocity,Reorder_Level,Last_Restock_Date,Days_To_Expiry,Shelf_Life_Months,Supplier_ID,Storage_Condition,Risk_Level
MED_6166,Medicine_914,BATCH_247,Sprays,2023-03-09,2024-04-10,2544.0,480.09,1256996.67,44.0,308,1320,20.04,52,2023-02-16,28,23,SUP_310,cool,1
MED_1903,Medicine_822,BATCH_597,Lotions,2023-11-28,2024-07-02,2046.0,292.57,782786.81,78.0,546,2340,16.93,53,2023-07-04,249,20,SUP_285,Cool Dry,0
MED_3732,Medicine_476,BATCH_892,Drops,2023-12-22,2024-03-19,2717.0,437.59,238652.14,48.0,336,1440,45.31,417,2023-09-01,56,22,SUP_323,Cool Dry,high risk
MED_5223,Medicine_752,BATCH_145,Tablets ,2023-06-08,2024-04-12,3832.0,,1266986.93,58.0,406,1740,32.7,468,2023-04-06,330,14,SUP_795,Ref,YES
MED_6024,Medicine_971,BATCH_470,injections,2023-07-23,2024-06-18,391.0,105.19,134773.25,13.0,91,390,41.7,197,2023-12-01,184,13,SUP_542,Room Temp,low
MED_1337,Medicine_108,BATCH_149,Inhalers,2023-09-20,2024-07-24,1942.0,391.2,49357.85,94.0,658,2820,19.8,167,2023-02-26,322,32,SUP_926,Ref,1
MED_3761,Medicine_790,BATCH_882,Powders,2023-10-02,2024-10-15,4326.0,95.66,821312.55,87.0,609,2610,6.67,230,2023-01-14,253,18,SUP_274,Refrigerated,Low Risk
MED_2786,Medicine_263,BATCH_714,Injections,2023-04-09,2024-02-17,684.0,353.24,243014.24,24.0,168,720,37.95,255,2023-01-13,92,16,SUP_968,Cool Dry,low
MED_3499,Medicine_952,BATCH_175,Ointments,2023-12-25,2024-08-25,2621.0,312.64,815524.15,69.0,483,2070,47.67,57,2023-04-27,290,25,SUP_661,,1
MED_1128,Medicine_502,BATCH_361,Sprays,2023-04-28,2024-08-13,999.0,54.22,412713.66,68.0,476,2040,11.77,157,2023-03-15,323,16,SUP_931,,0
MED_2733,Medicine_868,BATCH_158,Powders,2023-09-12,2024-12-16,1519.0,216.54,157093.35,62.0,434,1860,0.62,242,2023-10-11,333,36,SUP_766,,low
MED_6994,Medicine_815,BATCH_319,Capsules,2023-08-20,2024-09-02,4859.0,137.3,2058000.85,61.0,427,1830,46.21,63,2023-05-04,54,24,,Refrigerated,low
MED_5415,Medicine_495,BATCH_327,Sprays,2023-01-01,2024-10-26,1879.0,457.11,93947.56,100.0,700,3000,20.84,348,2023-06-11,297,26,SUP_779,room temp,
MED_3553,Medicine_603,BATCH_158,Capsules ,2023-08-12,2024-08-26,4841.0,190.42,1796426.84,28.0,196,840,19.03,455,2023-06-02,149,34,SUP_334,Refrigerated,
MED_9202,Medicine_126,BATCH_810,Tablets ,2023-06-28,2024-11-25,-100.0,215.2,1497522.61,2.0,14,60,37.63,420,2023-09-22,297,9,SUP_742,room temp,High Risk
MED_9248,Medicine_215,BATCH_874,Lotions,2023-12-21,2024-11-08,4244.0,149.71,2096791.68,16.0,112,480,29.79,144,2023-09-20,177,16,SUP_561,cool,Low Risk
MED_4874,Medicine_153,BATCH_794,Tablets ,2023-03-12,2024-09-01,173.0,220.54,52345.05,16.0,112,480,0.4,295,2023-05-10,248,8,SUP_879,room temp,high risk
MED_4916,Medicine_908,BATCH_877,Injections,2023-04-28,2024-12-05,2026.0,256.28,371954.13,43.0,301,1290,11.47,197,2023-02-26,74,9,SUP_973,Room Temp,YES
MED_7117,Medicine_316,BATCH_624,Ointments,2023-11-23,2024-09-01,4978.0,437.41,1231567.46,84.0,588,2520,10.46,91,2023-02-18,168,20,SUP_957,Ref,1
MED_6475,Medicine_224,BATCH_387,Powders,2023-06-25,2024-09-05,4022.0,134.22,1350221.96,100.0,700,3000,44.39,153,2023-04-11,10,8,SUP_660,cool,high risk
MED_6387,Medicine_277,BATCH_963,,2023-06-23,2024-10-16,4896.0,240.58,829725.41,32.0,224,960,45.57,78,2023-02-16,92,21,SUP_194,Ref,1
MED_6953,Medicine_949,BATCH_947,Lotions,2023-08-26,2024-08-03,2876.0,64.13,1368404.67,53.0,371,1590,32.5,244,2023-07-01,151,16,SUP_527,cool,1
MED_1863,Medicine_795,BATCH_561,Inhalers,2023-08-05,2024-12-25,2914.0,53.48,544904.37,89.0,623,2670,33.62,417,2023-07-16,211,27,SUP_279,Cool Dry,0
MED_5641,Medicine_942,BATCH_520,Injections,2023-03-04,2024-03-20,533.0,342.45,234375.93,65.0,455,1950,20.98,421,2023-03-04,235,32,SUP_880,Refrigerated,Risk
MED_6218,Medicine_964,BATCH_918,injections,2023-03-17,2024-05-05,728.0,324.47,351016.22,10.0,70,300,19.74,138,2023-04-25,68,26,SUP_512,Ref,0
MED_5487,Medicine_670,BATCH_433,Tablets ,2023-11-10,2024-06-21,1551.0,TBD,303027.35,54.0,378,1620,38.75,143,2023-01-18,363,6,SUP_146,Ref,High Risk
MED_6905,Medicine_261,BATCH_292,Injections,2023-07-22,2024-07-10,575.0,414.01,36092.33,74.0,518,2220,28.79,352,2023-01-17,78,8,SUP_786,Cool Dry,high risk
MED_2724,Medicine_244,BATCH_821,injections,2023-06-02,2024-09-07,997.0,92.14,24991.0,60.0,420,1800,22.28,75,2023-07-19,74,32,SUP_363,Cool Dry,
MED_3782,Medicine_442,BATCH_906,Sprays,2023-01-08,2024-08-04,4305.0,349.3,1816601.19,27.0,189,810,42.0,421,2023-04-03,359,36,SUP_322,room temp,NO
MED_9348,Medicine_768,BATCH_836,Tablets ,2023-10-21,2024-11-20,1946.0,432.15,537085.9,34.0,238,1020,18.3,119,2023-02-16,200,6,SUP_781,,High Risk
MED_2405,Medicine_215,BATCH_857,Capsules,2023-06-05,2024-12-28,1635.0,129.09,513866.11,87.0,609,2610,7.38,476,2023-05-01,175,28,SUP_923,Room Temp,low risk
